user_id,target,account_detail_f,pro_cat_f,accessories_f,view_order_f,orders_f,contact_us_f,rewards_f,rewards_cart_f,deli_retrn_f,shop_f,prod_search_f,goalkeeper_f,loyalty_f,prod_coulour_f,clearance_f,sale_f,training_wear_f,page_views,sessions
6728,0,2,43,0,1,1,0,0,0,0,16,0,0,0,14,0,0,43,84,2
8272,0,0,12,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,20,2
9176,0,1,22,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,52,5
8682,0,1,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,14,1
6461,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,13,2
6130,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
8149,0,2,8,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,39,1
4248,1,0,20,0,0,0,0,0,0,0,15,0,0,0,0,7,0,0,43,1
4385,1,6,260,20,0,1,0,1,0,0,125,0,30,0,126,1,1,27,468,18
4602,1,0,49,2,0,0,0,0,0,0,22,5,0,0,1,0,0,31,94,1
4508,1,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,22,3
5998,0,1,5,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,14,1
8044,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
5927,0,2,7,0,0,0,0,0,0,0,6,0,1,0,4,0,0,0,18,2
6921,1,2,84,25,0,0,1,0,0,0,90,0,14,1,61,1,2,19,258,8
8074,0,6,15,0,0,0,0,0,0,0,8,0,0,0,5,0,0,8,34,2
4184,0,0,8,0,0,2,0,0,0,1,9,0,0,0,0,0,1,0,37,1
6779,0,0,21,2,0,0,0,0,0,0,18,0,0,0,18,1,2,12,43,3
6084,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1
6016,0,4,21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,34,2
5115,0,0,21,0,0,0,0,0,0,0,18,0,3,0,17,0,0,0,54,1
4050,1,0,17,0,0,0,0,1,0,1,16,0,5,0,0,1,0,0,52,1
4931,1,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,22,1
8258,1,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,2
3005,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
5658,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1
6941,0,0,9,0,0,0,0,0,0,0,8,0,0,0,8,0,0,1,24,1
8259,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,10,1
9005,0,0,14,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,23,1
6229,0,0,6,0,0,0,0,0,0,0,8,0,0,0,4,0,0,6,15,1
5020,1,0,12,0,0,0,0,0,0,0,15,4,0,0,13,0,0,0,78,5
5450,0,2,26,0,0,0,0,0,0,0,10,0,0,0,10,0,0,14,40,1
4534,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,12,3
4319,1,6,29,0,2,2,2,0,0,0,33,1,9,0,0,0,0,1,106,13
7061,0,11,49,0,0,1,0,2,2,0,32,0,0,0,25,0,0,31,166,14
8545,0,1,34,0,0,0,0,0,0,0,21,0,0,0,6,1,0,1,114,2
5633,0,6,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,16,1
5130,1,6,10,0,4,8,0,3,0,1,90,1,0,0,61,0,0,6,229,11
6683,1,2,38,6,0,0,0,0,0,0,24,0,0,0,18,0,1,25,81,3
